,SPY,Regime,Level,Equity_vs_Bond,US10Y,Jobless_Claims_MA,VIX,Market_Breadth,spread_10y2y,DXY,Copper_Gold_Ratio
2010-07-12,81.54978942871094,0,4,2.8751640815307677,3.08,458500.0,24.43000030517578,0.3738660192532548,2.43,84.19999694824219,0.002502711753224551
2010-07-13,82.7802505493164,0,4,2.885075450167631,3.15,457100.0,24.559999465942383,0.3753881159314234,2.48,83.63999938964844,0.0024804252085950454
2010-07-14,82.77272033691406,0,4,2.8905783388851254,3.07,455700.0,24.88999938964844,0.3746770495039904,2.4499999999999997,83.43000030517578,0.0024867416358119163
2010-07-15,82.79533386230469,0,4,2.905156983925484,3.0,454300.0,25.13999938964844,0.37522652193344175,2.39,82.55999755859375,0.002487377017769966
2010-07-16,80.51563262939453,0,4,2.9121502689953265,2.96,452900.0,26.25,0.3736880818356645,2.35,82.48999786376953,0.0024608586372349794
2010-07-19,80.99119567871094,0,4,2.8912007031038183,2.99,452650.0,25.96999931335449,0.3744449954115036,2.3800000000000003,82.51000213623047,0.0024815943189732416
2010-07-20,81.88951110839844,0,4,2.856166231226877,2.98,453150.0,23.93000030517578,0.37579895302728245,2.37,82.75,0.0025157364186148058
2010-07-21,80.82512664794922,0,4,2.8481783059555026,2.9,453650.0,25.63999938964844,0.3749283668703654,2.32,83.38999938964844,0.00259063440452869
2010-07-22,82.62928771972656,0,4,2.826261874101045,2.96,454150.0,24.6299991607666,0.37598055138570313,2.36,82.5999984741211,0.0026436637805027723
2010-07-23,83.34642028808594,0,4,2.8313924454824067,3.02,454650.0,23.46999931335449,0.3772787787904158,2.42,82.45999908447266,0.002681653678302317
2010-07-26,84.21456146240234,0,4,2.8415496966484173,3.03,455300.0,22.729999542236328,0.37851696626189246,2.4099999999999997,82.08999633789062,0.002726119953197437
2010-07-27,84.20701599121094,0,4,2.8461045344038522,3.08,455350.0,23.190000534057617,0.3764449340420408,2.43,82.18000030517578,0.0027677028702124823
2010-07-28,83.6634750366211,0,4,2.8435456457608543,3.03,455400.0,24.25,0.37548047640972654,2.42,82.18000030517578,0.0027921405906318926
2010-07-29,83.25584411621094,0,4,2.824883832017094,3.03,455450.0,24.1299991607666,0.3754664829631313,2.44,81.63999938964844,0.0028119650641386285
2010-07-30,83.24070739746094,0,4,2.810725867162766,2.94,455500.0,23.5,0.37590531840536384,2.3899999999999997,81.54000091552734,0.0027985106697509814
2010-08-02,85.12039184570312,0,4,2.801781710067739,2.99,456100.0,22.01000022888184,0.3758477937419893,2.43,80.94000244140625,0.0028604021637901127
2010-08-03,84.71276092529297,0,4,2.8015583906369397,2.94,457200.0,22.6299991607666,0.37456161231024065,2.41,80.5999984741211,0.0028307459983914155
2010-08-04,85.27892303466797,0,4,2.8162846801857926,2.98,458300.0,22.209999084472656,0.37532988735854744,2.42,80.88999938964844,0.002848705871010115
